array_index,u_k_lambda,v_k_lambda
0,0.002867,0.002989
0,0.000789,0.003923
0,0.000787,0.003924
0,0.000785,0.003924
0,0.000782,0.003925
0,0.000780,0.003925
0,0.000778,0.003926
0,0.000776,0.003926
0,0.000773,0.003926
0,0.000771,0.003927
0,0.000769,0.003927
0,0.000766,0.003928
0,0.000764,0.003928
0,0.000762,0.003929
0,0.000760,0.003929
0,0.000757,0.003930
0,0.000755,0.003930
0,0.000753,0.003930
0,0.000751,0.003931
0,0.000748,0.003931
0,0.000746,0.003932
0,0.000744,0.003932
0,0.000742,0.003933
0,0.000739,0.003933
0,0.000737,0.003933
0,0.000735,0.003934
0,0.000732,0.003934
0,0.000730,0.003935
0,0.000728,0.003935
0,0.000726,0.003936
0,0.000723,0.003936
0,0.000721,0.003936
0,0.000719,0.003937
0,0.000717,0.003937
0,0.000714,0.003938
0,0.000712,0.003938
0,0.000710,0.003938
0,0.000707,0.003939
0,0.000705,0.003939
0,0.000703,0.003940
0,0.000701,0.003940
0,0.000698,0.003940
0,0.000696,0.003941
0,0.000694,0.003941
0,0.000692,0.003942
0,0.003164,0.001231
0,0.003163,0.001233
0,0.003162,0.001235
0,0.003162,0.001236
0,0.003161,0.001238
0,0.003160,0.001240
0,0.003160,0.001242
0,0.003159,0.001244
0,0.003158,0.001245
0,0.003157,0.001247
0,0.003157,0.001249
0,0.003156,0.001251
0,0.003155,0.001253
0,0.003155,0.001255
0,0.003154,0.001256
0,0.003153,0.001258
0,0.003152,0.001260
0,0.003152,0.001262
0,0.003151,0.001264
0,0.003150,0.001265
0,0.003150,0.001267
0,0.003149,0.001269
0,0.003148,0.001271
0,0.003147,0.001273
0,0.003147,0.001274
0,0.003146,0.001276
0,0.003145,0.001278
0,0.003144,0.001280
0,0.003144,0.001282
0,0.003143,0.001284
0,0.003142,0.001285
0,0.003141,0.001287
0,0.003141,0.001289
0,0.003140,0.001291
0,0.003139,0.001293
0,0.003138,0.001294
0,0.003138,0.001296
0,0.003137,0.001298
0,0.003136,0.001300
0,0.003135,0.001302
0,0.003135,0.001303
0,0.003134,0.001305
0,0.003133,0.001307
0,0.003132,0.001309
0,-0.001009,0.001637
0,-0.001010,0.001637
0,-0.001011,0.001636
0,-0.001012,0.001636
